"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp",
"VSTR_NOTIFY_ERR_SET_INACTIVE","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Nelze spawnout objekt! Vybraná stavební sada není aktivní!!","Objekt kann nicht gespawnt werden! Ausgewähltes Bauset ist nicht aktiv!!","Невозможно заспавнить объект! Выбранная серия не активна!!","Nie można zrespawnować obiektu! Wybrany zestaw budynków nie jest aktywny!!","Nem lehet objektumot spawnolni! A kiválasztott építési készlet nem aktív!!","Impossibile spawnare oggetto! Il set di costruzione selezionato non è attivo!!","¡No se puede spawnear el objeto! ¡El set de construcción seleccionado no está activo!","Impossible de spawner l'objet! Le set de construction sélectionné n'est pas actif!!","無法生成物件!所選建築集合未啟用!!","オブジェクトをスポーンできません! 選択された建築セットは非アクティブです!!","Não é possível spawnar o objeto! O set de construção selecionado não está ativo!!","无法生成对象！所选建筑集未激活！",
"VSTR_TOOLTIP_HELP_OBJMANAGER","How to use:<br/><Object Builder Controls><br/>-> Left Ctrl to deselect an object<br/>-> Hold left Shift + left/right click to rotate object<br/>-> Hold left Alt + left/right click to move up/down<br/>-> Left Click on object to select<br/>-> Hold left Click to drag/move object.","How to use:<br/><Object Builder Controls><br/>-> Left Ctrl to deselect an object<br/>-> Hold left Shift + left/right click to rotate object<br/>-> Hold left Alt + left/right click to move up/down<br/>-> Left Click on object to select<br/>-> Hold left Click to drag/move object.","Jak používat:<br/><br/> <Ovládání Object Builderu><br/>-> Levý Ctrl pro odznačení objektu<br/>-> Držte levý Shift + levé/pravé kliknutí pro rotaci<br/>-> Držte levý Alt + levé/pravé kliknutí pro pohyb nahoru/dolů<br/>-> Levé kliknutí pro výběr objektu<br/>-> Držte levé kliknutí pro tažení/pohyb ""objektu.""","So funktioniert’s:<br/><br/> <Object-Builder-Steuerung><br/>-> Linke Strg, um ein Objekt abzuwählen<br/>-> Linke Umschalt + Links-/Rechtsklick halten, um zu rotieren<br/>-> Linke Alt + Links-/Rechtsklick halten, um nach oben/unten zu bewegen<br/>-> Linksklick auf Objekt zum Auswählen<br/>-> Linksklick halten, um zu ziehen/bewegen.","Как использовать:<br/><br/> <Управление Object Builder><br/>-> Левая Ctrl — снять выделение<br/>-> Удерживайте левый Shift + лев/прав клик — вращать объект<br/>-> Удерживайте левый Alt + лев/прав клик — вверх/вниз<br/>-> ЛКМ по объекту — выбрать<br/>-> Удерживайте ЛКМ — перетаскивать/двигать.","Jak używać:<br/><br/> <Sterowanie Object Builder><br/>-> Lewy Ctrl — odznacz obiekt<br/>-> Przytrzymaj lewy Shift + lewy/prawy klik, aby obracać<br/>-> Przytrzymaj lewy Alt + lewy/prawy klik, aby przesuwać w górę/dół<br/>-> Lewy klik na obiekt, aby zaznaczyć<br/>-> Przytrzymaj lewy klik, aby przeciągać/przesuwać.","Használati útmutató:<br/><br/> <Object Builder vezérlés><br/>-> Bal Ctrl: objektum kijelölésének megszüntetése<br/>-> Bal Shift + bal/jobb klikk tartása: forgatás<br/>-> Bal Alt + bal/jobb klikk tartása: fel/le mozgatás<br/>-> Bal klikk az objektumon: kijelölés<br/>-> Bal klikk tartása: húzás/mozgatás.","Come usare:<br/><br/> <Controlli Object Builder><br/>-> Ctrl sinistro per deselezionare un oggetto<br/>-> Tieni premuto Shift sinistro + clic sinistro/destro per ruotare<br/>-> Tieni premuto Alt sinistro + clic sinistro/destro per muovere su/giù<br/>-> Clic sinistro sull'oggetto per selezionarlo<br/>-> Tieni premuto il clic sinistro per trascinare/muovere l'oggetto.","Cómo usar:<br/><br/> <Controles del Object Builder><br/>-> Ctrl izquierdo para deseleccionar un objeto<br/>-> Mantén Shift izquierdo + clic izq./der. para rotar<br/>-> Mantén Alt izquierdo + clic izq./der. para mover arriba/abajo<br/>-> Clic izquierdo en el objeto para seleccionarlo<br/>-> Mantén clic izquierdo para arrastrar/mover el objeto.","Comment utiliser:<br/><br/> <Contrôles de l'Object Builder><br/>-> Ctrl gauche pour désélectionner un objet<br/>-> Maintenir Shift gauche + clic gauche/droit pour faire pivoter<br/>-> Maintenir Alt gauche + clic gauche/droit pour monter/descendre<br/>-> Clic gauche sur l'objet pour sélectionner<br/>-> Maintenir le clic gauche pour faire glisser/déplacer l'objet.","使用方式:<br/><br/> <Object Builder 控制><br/>-> 按住左 Ctrl 取消選取物件<br/>-> 按住左 Shift + 左/右鍵旋轉<br/>-> 按住左 Alt + 左/右鍵上下移動<br/>-> 左鍵點擊物件以選取<br/>-> 按住左鍵可拖曳/移動物件。","使い方:<br/><br/> <Object Builder コントロール><br/>-> 左Ctrl でオブジェクトの選択解除<br/>-> 左Shift＋左/右クリック長押しで回転<br/>-> 左Alt＋左/右クリック長押しで上下移動<br/>-> オブジェクトを左クリックで選択<br/>-> 左クリック長押しでドラッグ/移動。","Como usar:<br/><br/> <Controles do Object Builder><br/>-> Ctrl esquerdo para desselecionar um objeto<br/>-> Segurar Shift esquerdo + clique esq./dir. para girar<br/>-> Segurar Alt esquerdo + clique esq./dir. para mover para cima/baixo<br/>-> Clique esquerdo no objeto para selecionar<br/>-> Segurar clique esquerdo para arrastar/mover o objeto.","使用方法：<br/> <对象构建器控件><br/>-> 按住左 Ctrl 键取消选择对象<br/>-> 按住左 Shift 键并单击鼠标左键/右键旋转对象<br/>-> 按住左 Alt 键并单击鼠标左键/右键上下移动对象<br/>-> 单击鼠标左键选择对象<br/>-> 按住鼠标左键拖动/移动对象。",
"VSTR_TILE_DEL_USER","Delete User","Delete User","Smazat uživatele","Benutzer löschen","Удалить пользователя","Usuń użytkownika","Felhasználó törlése","Elimina utente","Eliminar usuario","Supprimer l'utilisateur","刪除使用者","ユーザーを削除","Excluir usuário","删除用户",
"VSTR_Q_REMOVE_USER_FROMGROUP","Are you sure you wish to remove","Are you sure you wish to remove","Opravdu chcete odstranit","Möchtest du wirklich entfernen","Вы уверены, что хотите удалить","Czy na pewno chcesz usunąć","Biztosan szeretnéd eltávolítani","Sei sicuro di voler rimuovere","¿Seguro que quieres eliminar","Êtes-vous sûr de vouloir retirer","確定要從群組中移除","本当に","Tem certeza de que deseja remover","您确定要删除吗？",
"VSTR_Q_REMOVE_USER_FROMGROUP_2","from the group?","from the group?","ze skupiny?","aus der Gruppe?","из группы?","z grupy?","a csoportból?","dal gruppo?","del grupo?","du groupe?","你想把它从组中移除吗？","をグループから削除しますか?","do grupo?","你想把它从组中移除吗？",
"VSTR_TITLE_EDIT_PERMS","Edit Permission Level","Edit Permission Level","Upravit úroveň oprávnění","Berechtigungsstufe bearbeiten","Изменить уровень прав","Edytuj poziom uprawnień","Jogosultsági szint módosítása","Modifica livello autorizzazioni","Editar nivel de permisos","Modifier le niveau d'autorisation","編輯權限等級","権限レベルを編集","Editar nível de permissão","编辑权限级别",
"VSTR_TOOLTIP_PERMSLEVEL","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Zadejte novou hodnotu úrovně oprávnění pro uživatelskou skupinu:","Gib einen neuen Wert der Berechtigungsstufe für die Benutzergruppe ein:","Введите новое значение уровня прав для группы пользователей:","Wprowadź nową wartość poziomu uprawnień dla grupy użytkowników:","Add meg az új jogosultsági szint értékét a felhasználói csoport számára:","Inserisci il nuovo valore di livello autorizzazioni per il gruppo utenti:","Introduce el nuevo valor del nivel de permisos para el grupo de usuarios:","Saisissez la nouvelle valeur de niveau d'autorisation pour le groupe d'utilisateurs:","輸入該使用者群組的新權限等級值:","ユーザーグループの新しい権限レベル値を入力してください:","Digite o novo valor de nível de permissão para o grupo de usuários:","请为用户组输入新的权限级别值：",
"VSTR_NOTIFY_PERMLVL_UPDATED","Permission Level Updated To:","Permission Level Updated To:","Úroveň oprávnění aktualizována na:","Berechtigungsstufe aktualisiert zu:","Уровень прав обновлён до:","Poziom uprawnień zaktualizowano do:","Jogosultsági szint frissítve erre:","Livello autorizzazioni aggiornato a:","Nivel de permisos actualizado a:","Niveau d'autorisation mis à jour à:","權限等級已更新為:","権限レベルを更新しました:","Nível de permissão atualizado para:","权限级别已更新为：",
"VSTR_TOOLTIPE_TITLE_DELGROUP","Delete User Group","Delete User Group","Smazat uživatelskou skupinu","Benutzergruppe löschen","Удалить группу пользователей","Usuń grupę użytkowników","Felhasználói csoport törlése","Elimina gruppo utenti","Eliminar grupo de usuarios","Supprimer le groupe d'utilisateurs","刪除使用者群組","ユーザーグループを削除","Excluir grupo de usuários","删除用户组",
"VSTR_TOOLTIPE_DELGROUP","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Opravdu chcete smazat vybranou uživatelskou skupinu?","Möchtest du die ausgewählte Benutzergruppe wirklich löschen?","Вы уверены, что хотите удалить выбранную группу?","Czy na pewno chcesz usunąć wybraną grupę użytkowników?","Biztosan törlöd a kiválasztott felhasználói csoportot?","Sei sicuro di voler eliminare il gruppo utenti selezionato?","¿Seguro que quieres eliminar el grupo de usuarios seleccionado?","Êtes-vous sûr de vouloir supprimer le groupe d'utilisateurs sélectionné?","確定要刪除所選使用者群組?","選択したユーザーグループを本当に削除しますか?","Tem certeza de que deseja excluir o grupo de usuários selecionado?","您确定要删除所选用户组吗？",
"VSTR_TOOLTIP_TITLE_CREATEGROUP","Create User Group","Create User Group","Vytvořit uživatelskou skupinu","Benutzergruppe erstellen","Создать группу пользователей","Utwórz grupę użytkowników","Felhasználói csoport létrehozása","Crea gruppo utenti","Crear grupo de usuarios","Créer un groupe d'utilisateurs","建立使用者群組","ユーザーグループを作成","Criar grupo de usuários","创建用户组",
